episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events
1,ttl_short,3,18.0,1.0,0.96,1.25,1921,6,216,97,0.9968863518422418,0.8989237248479176,0.9453740157480314,0.3949579831932773,0.05825242718446602,0.0,1.0,49
2,ttl_short,3,18.0,1.0,0.96,1.25,1746,9,253,232,0.9948717948717949,0.8734367183591796,0.9302077783697389,0.3085399449035813,0.03734439834024896,0.0012224938875305623,0.9722222222222222,40
3,ttl_short,3,18.0,1.0,0.96,1.25,1707,9,222,302,0.9947552447552448,0.8849144634525661,0.9366255144032922,0.3373493975903614,0.028938906752411574,0.0012523481527864746,0.9459459459459459,42
4,ttl_short,3,18.0,1.0,0.96,1.25,1597,18,184,441,0.9888544891640867,0.8966872543514879,0.9405182567726736,0.35335689045936397,0.0392156862745098,0.0006675567423230974,0.967741935483871,40
5,ttl_short,3,18.0,1.0,0.96,1.25,1702,6,188,344,0.9964871194379391,0.9005291005291005,0.9460811561978877,0.41379310344827586,0.017142857142857144,0.0006365372374283895,0.975609756097561,47
6,ttl_short,3,18.0,1.0,0.96,1.25,1657,15,239,329,0.9910287081339713,0.8739451476793249,0.928811659192825,0.32577903682719545,0.0436046511627907,0.0006480881399870382,0.9736842105263158,44
7,ttl_short,3,18.0,1.0,0.96,1.25,1548,20,206,466,0.9872448979591837,0.8825541619156214,0.9319686935580975,0.34824281150159747,0.0411522633744856,0.0013879250520471894,0.9411764705882353,44
8,ttl_short,3,18.0,1.0,0.96,1.25,1748,9,198,285,0.9948776323278316,0.8982528263103803,0.9440993788819876,0.4012345679012346,0.030612244897959183,0.002466091245376079,0.9047619047619048,47
9,ttl_short,3,18.0,1.0,0.96,1.25,1755,9,283,193,0.9948979591836735,0.8611383709519136,0.923198316675434,0.2741514360313316,0.04455445544554455,0.0030211480362537764,0.9117647058823529,38
10,ttl_short,3,18.0,1.0,0.96,1.25,1756,9,258,217,0.9949008498583569,0.871896722939424,0.9293463879333157,0.3479381443298969,0.03982300884955752,0.003075030750307503,0.9285714285714286,48
11,ttl_short,3,18.0,1.0,0.96,1.25,1552,24,180,484,0.9847715736040609,0.8960739030023095,0.9383313180169287,0.375,0.047244094488188976,0.0,1.0,44
12,ttl_short,3,18.0,1.0,0.96,1.25,1864,9,195,172,0.9951948745328351,0.9052938319572608,0.948118006103764,0.404320987654321,0.049723756906077346,0.0011527377521613833,0.9534883720930233,47
13,ttl_short,3,18.0,1.0,0.96,1.25,1573,21,246,400,0.9868255959849436,0.8647608576140736,0.9217697040726633,0.29714285714285715,0.0498812351543943,0.0,1.0,43
